column,count,mean,std,min,25%,50%,75%,max,count,top,freq,unique,unique,type,nulls
PEDACT,null,null,null,null,null,null,null,null,2957,Crossing with right of way,929,"[nan 'Crossing, no Traffic Control' 'Running onto Roadway'
 'Crossing without right of way' 'On Sidewalk or Shoulder'
 'Crossing with right of way' 'Other' 'Coming From Behind Parked Vehicle'
 'Walking on Roadway Against Traffic' 'Crossing, Pedestrian Crossover'
 'Pushing/Working on Vehicle' 'Person Getting on/off Vehicle'
 'Walking on Roadway with Traffic' 'Playing or Working on Highway'
 'Crossing marked crosswalk without ROW'
 'Person Getting on/off School Bus']",15,object,14530
PEDCOND,null,null,null,null,null,null,null,null,2958,Normal,1664,"[nan 'Unknown' 'Normal' 'Other' 'Inattentive' 'Had Been Drinking'
 'Medical or Physical Disability' 'Ability Impaired, Alcohol'
 'Ability Impaired, Alcohol Over .80' 'Ability Impaired, Drugs' 'Fatigue']",10,object,16749
CYCLISTYPE,null,null,null,null,null,null,null,null,739,Motorist turned left across cyclists path.,126,"[nan 'Cyclist turns right across motorists path'
 'Motorist turned left across cyclists path.'
 'Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.'
 'Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.'
 'Cyclist loses control and strikes object (pole, ttc track)'
 'Cyclist rode off sidewalk into road at midblock.'
 'Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist.'
 'Cyclist struck opened vehicle door'
 'Cyclist turned left across motorists path.'
 'Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.'
 'Motorist turning right on green or amber at signalized intersection strikes cyclist.'
 'Cyclist makes u-turn in-front of driver.'
 'Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.'
 'Motorist turning right on red at signalized intersection strikes cyclist.'
 'Cyclist strikes pedestrian.'
 'Insufficient information (to determine cyclist crash type).'
 'Motorist reversing struck cyclist.'
 'Cyclist struck at PXO(cyclist either travel in same dir. as veh. or ride across xwalk)'
 'Motorist loses control and strikes cyclist.'
 'Cyclist strikes a parked vehicle.'
 'Motorist makes u-turn in-front of cyclist.'
 'Cyclist falls off bike - no contact with motorist.']",22,object,16758
CYCACT,null,null,null,null,null,null,null,null,730,Driving Properly,401,"[nan 'Failed to Yield Right of Way' 'Driving Properly' 'Other'
 'Lost control' 'Disobeyed Traffic Control' 'Improper Turn'
 'Improper Passing' 'Improper Lane Change' 'Following too Close'
 'Speed too Fast For Condition' 'Wrong Way on One Way Road']",11,object,16759
CYCCOND,null,null,null,null,null,null,null,null,729,Normal,506,"[nan 'Inattentive' 'Normal' 'Unknown' 'Had Been Drinking'
 'Ability Impaired, Drugs' 'Ability Impaired, Alcohol Over .80'
 'Medical or Physical Disability' 'Ability Impaired, Alcohol' 'Other'
 'Fatigue']",10,object,10409
PEDESTRIAN,null,null,null,null,null,null,null,null,7079,Yes,7079,[nan 'Yes'],1,object,15661
CYCLIST,null,null,null,null,null,null,null,null,1827,Yes,1827,[nan 'Yes'],1,object,1628
AUTOMOBILE,null,null,null,null,null,null,null,null,15860,Yes,15860,['Yes' nan],1,object,16006
MOTORCYCLE,null,null,null,null,null,null,null,null,1482,Yes,1482,[nan 'Yes'],1,object,16428
TRUCK,null,null,null,null,null,null,null,null,1060,Yes,1060,[nan 'Yes'],1,object,16419
TRSN_CITY_VEH,null,null,null,null,null,null,null,null,1069,Yes,1069,[nan 'Yes'],1,object,17445
EMERG_VEH,null,null,null,null,null,null,null,null,43,Yes,43,[nan 'Yes'],1,object,10867
PASSENGER,null,null,null,null,null,null,null,null,6621,Yes,6621,['Yes' nan],1,object,15047
SPEEDING,null,null,null,null,null,null,null,null,2441,Yes,2441,['Yes' nan],1,object,8449
AG_DRIV,null,null,null,null,null,null,null,null,9039,Yes,9039,['Yes' nan],1,object,16035
REDLIGHT,null,null,null,null,null,null,null,null,1453,Yes,1453,[nan 'Yes'],1,object,16726
ALCOHOL,null,null,null,null,null,null,null,null,762,Yes,762,['Yes' nan],1,object,17013
DISABILITY,null,null,null,null,null,null,null,null,475,Yes,475,[nan 'Yes'],1,object,0
HOOD_158,null,null,null,null,null,null,null,null,17488,1,557,"['60' '10' '119' '170' '164' '40' '110' '88' '111' '1' '38' '47' '18'
 '136' '150' '165' '102' '98' '85' '160' '63' '143' '107' '11' '156' '169'
 '84' '99' '162' '64' '4' '83' '128' '114' '73' '43' '27' '58' '5' '6'
 '30' '48' '87' '146' '126' '153' '20' '61' '89' '50' '124' '44' '123'
 '78' '100' '109' '25' '167' '70' '80' '159' '130' '129' 'NSA' '135' '95'
 '142' '65' '34' '81' '148' '32' '9' '108' '149' '120' '144' '166' '157'
 '22' '96' '138' '125' '116' '16' '163' '161' '91' '171' '42' '52' '168'
 '23' '92' '103' '66' '54' '59' '172' '56' '145' '101' '57' '152' '29'
 '115' '139' '39' '122' '21' '112' '37' '97' '106' '174' '151' '33' '154'
 '35' '53' '24' '8' '71' '94' '7' '141' '62' '90' '118' '79' '55' '147'
 '41' '13' '113' '31' '68' '86' '2' '3' '36' '158' '105' '140' '72' '155'
 '28' '46' '133' '121' '19' '134' '69' '49' '15' '12' '67' '74' '173']",159,object,0
NEIGHBOURHOOD_158,null,null,null,null,null,null,null,null,17488,West Humber-Clairville,557,"['Woodbine-Lumsden' 'Princess-Rosethorn' 'Wexford/Maryvale'
 'Yonge-Bay Corridor' 'Wellington Place' 'St.Andrew-Windfields'
 'Keelesdale-Eglinton West' 'High Park North' 'Rockcliffe-Smythe'
 'West Humber-Clairville' 'Lansing-Westgate' 'Don Valley Village'
 'New Toronto' 'West Hill' 'Fenside-Parkwoods' 'Harbourfront-CityPlace'
 'Forest Hill North' 'Rosedale-Moore Park' 'South Parkdale'
 'Mimico-Queensway' 'The Beaches' 'West Rouge' 'Oakwood Village'
 'Eringate-Centennial-West Deane' 'Bendale-Glen Andrew' 'Bay-Cloverhill'
 'Little Portugal' 'Mount Pleasant East' 'West Queen West'
 'Woodbine Corridor' 'Rexdale-Kipling' 'Dufferin Grove'
 'Agincourt South-Malvern West' 'Lambton Baby Point' 'Moss Park'
 'Victoria Village' 'York University Heights' 'Old East York'
 'Elms-Old Rexdale' 'Kingsview Village-The Westway' 'Brookhaven-Amesbury'
 'Hillcrest Village' 'High Park-Swansea' 'Malvern East' 'Dorset Park'
 'Avondale' 'Alderwood' 'Taylor-Massey' 'Runnymede-Bloor West Village'
 'Newtonbrook East' 'Kennedy Park' 'Flemingdon Park' 'Cliffcrest'
 'Kensington-Chinatown' 'Yonge-Eglinton' 'Caledonia-Fairbank'
 'Glenfield-Jane Heights' 'Church-Wellesley' 'South Riverdale'
 'Palmerston-Little Italy' 'Etobicoke City Centre' 'Milliken'
 'Agincourt North' 'NSA' 'Morningside' 'Annex' 'Woburn North'
 'Greenwood-Coxwell' 'Bathurst Manor' 'Trinity-Bellwoods'
 ""East L'Amoreaux"" 'Englemount-Lawrence' 'Edenbridge-Humber Valley'
 'Briar Hill-Belgravia' ""Parkwoods-O'Connor Hills"" 'Clairlea-Birchmount'
 'Morningside Heights' 'St Lawrence-East Bayfront-The Islands'
 'Bendale South' 'Humbermede' 'Casa Loma' 'Eglinton East' 'Ionview'
 'Steeles' 'Stonegate-Queensway' 'Fort York-Liberty Village'
 'Humber Bay Shores' 'Weston-Pelham Park' 'Junction-Wallace Emerson'
 'Banbury-Don Mills' 'Bayview Village' 'Downtown Yonge East'
 'Pelmo Park-Humberlea' 'Corso Italia-Davenport' 'Lawrence Park South'
 'Danforth' ""O'Connor-Parkview"" 'Danforth East York' 'Dovercourt Village'
 'Leaside-Bennington' 'Malvern West' 'Forest Hill South' 'Broadview North'
 'East Willowdale' 'Maple Leaf' 'Mount Dennis' 'Scarborough Village'
 'Bedford Park-Nortown' 'Birchcliffe-Cliffside' 'Humber Summit'
 'Beechborough-Greenbrook' 'Willowdale West' 'Yonge-St.Clair'
 'Humewood-Cedarvale' 'South Eglinton-Davisville' 'Yonge-Doris'
 'Clanton Park' 'Oakdale-Beverley Heights' 'Westminster-Branson'
 'Henry Farm' 'Black Creek' 'Humber Heights-Westmount'
 'Cabbagetown-South St.James Town' 'Wychwood'
 'Willowridge-Martingrove-Richview' 'Golfdale-Cedarbrae-Woburn'
 'East End-Danforth' 'Junction Area' ""Tam O'Shanter-Sullivan"" 'University'
 'Thorncliffe Park' ""L'Amoreaux West"" 'Bridle Path-Sunnybrook-York Mills'
 'Etobicoke West Mall' 'Weston' 'Yorkdale-Glen Park' 'North Riverdale'
 'Roncesvalles' 'Mount Olive-Silverstone-Jamestown'
 'Thistletown-Beaumond Heights' 'Newtonbrook West' 'Islington'
 'Lawrence Park North' 'Guildwood' 'Regent Park' 'Downsview' 'Rustic'
 'Pleasant View' 'Centennial Scarborough' 'Oakridge' 'Long Branch'
 'Highland Creek' 'Blake-Jones' 'Bayview Woods-Steeles' 'Kingsway South'
 'Markland Wood' 'Playter Estates-Danforth' 'North St.James Town'
 'North Toronto']",159,object,0
